"","run","subid","sequence","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","job","comments","phase","predicate","trialNum","leftCharacter","rightCharacter","response","rt","country_selfrep","responseNum"
"50","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",25,"grownup","bug","slightly more left",3821,"USA",-1
"51","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","thinking",26,"baby","robot","slightly more left",3550,"USA",-1
"52","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"practice","colder",1,"icecream","pizza","much more left",5349,"USA",-2
"53","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"practice","sweeter",2,"grapes","strawberries","slightly more right",5713,"USA",1
"54","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",3,"baby","bear","much more left",5071,"USA",-2
"55","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",4,"bug","dog","much more right",4400,"USA",2
"56","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",5,"grownup","robot","much more left",2257,"USA",-2
"57","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",6,"car","computer","both equally",2750,"USA",0
"58","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",7,"stapler","kid","much more right",2152,"USA",2
"59","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",8,"bug","computer","slightly more left",5796,"USA",-1
"60","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",9,"bear","car","much more left",1889,"USA",-2
"61","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","feelings",10,"dog","kid","slightly more right",4485,"USA",1
"62","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",11,"grownup","dog","both equally",4995,"USA",0
"63","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",12,"kid","bug","much more left",4517,"USA",-2
"64","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",13,"bear","computer","much more left",1058,"USA",-2
"65","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",14,"stapler","dog","much more right",1314,"USA",2
"66","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",15,"car","baby","much more right",1094,"USA",2
"67","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",16,"bug","robot","much more left",1635,"USA",-2
"68","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",17,"kid","baby","both equally",1758,"USA",0
"69","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","hunger",18,"robot","stapler","both equally",1522,"USA",0
"70","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",19,"grownup","stapler","much more left",1289,"USA",-2
"71","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",20,"bear","dog","both equally",3862,"USA",0
"72","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",21,"bug","car","much more left",1680,"USA",-2
"73","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",22,"computer","stapler","both equally",2325,"USA",0
"74","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",23,"baby","robot","much more left",1273,"USA",-2
"75","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",24,"grownup","bug","much more left",2107,"USA",-2
"76","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",25,"robot","car","both equally",1158,"USA",0
"77","us_run_01","us_run_01_3","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"test","thinking",26,"kid","computer","much more left",981,"USA",-2
"78","us_run_01","us_run_01_4","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"practice","colder",1,"icecream","pizza","much more left",2196,"USA",-2
